host_id,neighbourhood,latitude,longitude,room_type,price in $,minimum_nights,availability_365,Apartment_type,City,Rating,No_of_bed_rooms,No_of_beds,No_of_bathrooms,Bathroom_type
907405.0,De Baarsjes - Oud-West,52.36812,4.85422,Entire home/apt,260.0,30.0,130.0,Rental unit,Amsterdam,4.81,2.0,2.0,1.0,private
195859.0,Slotervaart,52.34801,4.83639,Private room,80.0,2.0,261.0,Bed and breakfast,Amsterdam,4.62,1.0,1.0,1.0,shared
2483843.0,Zuid,52.3543,4.87701,Entire home/apt,120.0,5.0,0.0,Rental unit,Amsterdam,4.82,3.0,3.0,1.0,private
1511330.0,Oud-Oost,52.35179,4.91082,Private room,126.0,3.0,230.0,Rental unit,Amsterdam,4.87,1.0,1.0,1.0,private
670266.0,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,265.0,2.0,110.0,Townhouse,Amsterdam,4.76,4.0,4.0,2.5,private
1645998.0,Centrum-Oost,52.36412,4.88757,Entire home/apt,475.0,2.0,6.0,Rental unit,Amsterdam,4.74,3.0,3.0,1.0,private
3548522.0,De Baarsjes - Oud-West,52.36115,4.85209,Entire home/apt,225.0,2.0,38.0,Rental unit,Amsterdam,4.8,3.0,3.0,1.0,private
2536879.0,Noord-Oost,52.39675,4.99603,Entire home/apt,180.0,2.0,246.0,Condo,Amsterdam,,1.0,1.0,1.5,private
276068.0,Centrum-West,52.37239,4.89657,Private room,159.0,3.0,250.0,Bed and breakfast,Amsterdam,4.77,1.0,1.0,1.5,private
1565319.0,Oud-Oost,52.3623,4.92028,Entire home/apt,88.0,28.0,0.0,Boat,Amsterdam,4.55,1.0,1.0,1.0,private
4013546.0,Noord-Oost,52.40164,4.95106,Private room,62.0,3.0,268.0,Condo,Amsterdam,4.75,1.0,1.0,1.0,shared
1141485.0,Centrum-Oost,52.35931,4.89844,Entire home/apt,200.0,4.0,0.0,Rental unit,Amsterdam,4.63,2.0,2.0,1.5,private
2540480.0,Centrum-Oost,52.35902,4.89606,Private room,205.0,3.0,277.0,Boat,Amsterdam,4.87,1.0,1.0,1.0,private
3678216.0,Westerpark,52.38855,4.88521,Entire home/apt,327.0,3.0,155.0,Rental unit,Amsterdam,4.83,1.0,1.0,2.0,private
3877342.0,Westerpark,52.37824,4.86826,Private room,109.0,2.0,11.0,Boat,Amsterdam,4.81,1.0,1.0,1.5,private
2541099.0,Zuid,52.35022,4.8525,Entire home/apt,175.0,2.0,30.0,Rental unit,Amsterdam,4.3,2.0,2.0,1.5,private
2550339.0,Centrum-West,52.37827,4.88568,Entire home/apt,500.0,3.0,330.0,Rental unit,Amsterdam,4.88,1.0,1.0,1.0,private
176944339.0,Westerpark,52.39185,4.8869,Entire home/apt,1239.0,2.0,220.0,Boat,Amsterdam,4.86,10.0,10.0,2.5,private
1141485.0,Centrum-Oost,52.35871,4.89616,Entire home/apt,155.0,3.0,0.0,Rental unit,Amsterdam,4.83,1.0,1.0,1.0,private
4068486.0,Zuid,52.34091,4.84802,Entire home/apt,290.0,3.0,0.0,Houseboat,Amsterdam,5.0,3.0,3.0,2.5,private
1141485.0,Centrum-Oost,52.35972,4.8975,Private room,100.0,3.0,0.0,Rental unit,Amsterdam,4.75,1.0,1.0,,private
2569931.0,Bos en Lommer,52.3774,4.851,Entire home/apt,190.0,8.0,0.0,Rental unit,Amsterdam,4.96,3.0,3.0,1.5,private
2313061.0,Centrum-West,52.37641,4.88303,Private room,150.0,1.0,143.0,Rental unit,Amsterdam,4.89,1.0,1.0,,private
2594559.0,Westerpark,52.39114,4.88846,Private room,110.0,2.0,228.0,Boat,Amsterdam,4.85,1.0,1.0,1.5,private
356740.0,Watergraafsmeer,52.354,4.93965,Entire home/apt,140.0,5.0,0.0,Condo,Amsterdam,4.84,2.0,2.0,1.5,private
1600010.0,Centrum-West,52.37104,4.87713,Entire home/apt,325.0,5.0,351.0,Rental unit,Amsterdam,4.76,1.0,1.0,1.0,private
195859.0,Slotervaart,52.34985,4.83578,Private room,75.0,2.0,256.0,Bed and breakfast,Amsterdam,4.59,1.0,1.0,1.0,shared
1640702.0,De Pijp - Rivierenbuurt,52.35669,4.90187,Entire home/apt,336.0,1.0,38.0,Rental unit,Amsterdam,4.75,1.0,1.0,1.0,private
